0 1
0.02 1
0.04 1
0.06 1
0.08 1
0.1 1
0.12 1
0.14 1
0.16 1
0.18 1
0.2 1
0.22 1
0.24 1
0.26 1
0.28 1
0.3 1
0.32 1
0.34 1
0.36 1
0.38 1
0.4 1.00003
0.42 1.00037
0.44 1.00327
0.46 1.02106
0.48 1.09295
0.5 1.26334
0.52 1.48835
0.54 1.69879
0.56 1.85154
0.58 1.93947
0.6 1.9797
0.62 1.9944
0.64 1.99872
0.66 1.99976
0.68 1.99996
0.7 2
0.72 2
0.74 2
0.76 2
0.78 2
0.8 2
0.82 2
0.84 2
0.86 2
0.88 2
0.9 2
0.92 1.99998
0.94 1.99978
0.96 1.99796
0.98 1.98556
1 1.92495
1.02 1.73244
1.04 1.42285
1.06 1.1708
1.08 1.05106
1.1 1.01196
1.12 1.00226
1.14 1.00035
1.16 1.00004
1.18 1
1.2 1
1.22 1
1.24 1
1.26 1
1.28 1
1.3 1
1.32 1
1.34 1
1.36 1
1.38 1
1.4 1
1.42 1
1.44 1
1.46 1
1.48 1
1.5 1
1.52 1
1.54 1
1.56 1
1.58 1
1.6 1
1.62 1
1.64 1
1.66 1
1.68 1
1.7 1
1.72 1
1.74 1
1.76 1
1.78 1
1.8 1
1.82 1
1.84 1
1.86 1
1.88 1
1.9 1
1.92 1
1.94 1
1.96 1
1.98 1
2 1
