0 1
0.02 1
0.04 1
0.06 1
0.08 1
0.1 1
0.12 1
0.14 1
0.16 1
0.18 1
0.2 1
0.22 1
0.24 1
0.26 1
0.28 1
0.3 1
0.32 1
0.34 1
0.36 1
0.38 1
0.4 1
0.42 1
0.44 1
0.46 1
0.48 1
0.5 1
0.52 1
0.54 1
0.56 1
0.58 1
0.6 1
0.62 1
0.64 1
0.66 1
0.68 1
0.7 1
0.72 1
0.74 1
0.76 1
0.78 1
0.8 1
0.82 1
0.84 1
0.86 1
0.88 1
0.9 1
0.92 1
0.94 1
0.96 1
0.98 1
1 1
1.02 1
1.04 1
1.06 1
1.08 1
1.1 1
1.12 1
1.14 1
1.16 1
1.18 1
1.2 1
1.22 1
1.24 1
1.26 1
1.28 1
1.3 1
1.32 1
1.34 1.00001
1.36 1.00001
1.38 1.00001
1.4 1.00001
1.42 1.00002
1.44 1.00002
1.46 1.00003
1.48 1.00004
1.5 1.00006
1.52 1.00008
1.54 1.0001
1.56 1.00013
1.58 1.00016
1.6 1.00021
1.62 1.00027
1.64 1.00034
1.66 1.00042
1.68 1.00053
1.7 1.00066
1.72 1.00082
1.74 1.00101
1.76 1.00124
1.78 1.00151
1.8 1.00183
1.82 1.00221
1.84 1.00265
1.86 1.00316
1.88 1.00374
1.9 1.00438
1.92 1.00504
1.94 1.00561
1.96 1.00577
1.98 1.00464
2 1
